ID,Brand,Model,Processor,Storage and RAM,Dimensions,Display,Camera,Battery & Charging,Sensors,Operating System,Price,Image
1,Apple,iPhone 16 Pro,A18 Pro chip,128GB 256GB 512GB 1TB,Width: | 2.81 inches | (71.5 mm) | Height: | 5.89 inches | (149.6 mm) | Depth: | 0.32 inch | (8.25 mm) | Weight: 7.03 ounces (199 grams),Super Retina XDR display | 6.3‑inch (diagonal) all‑screen OLED display | 2622‑by‑1206-pixel resolution at 460 ppi | The iPhone 16 Pro display has rounded corners that follow a beautiful curved design  and these corners are within a standard rectangle. When measured as a standard rectangular shape  the screen is 6.27 inches diagonally (actual viewable area is less).,Pro camera system | 48MP Fusion: 24 mm  ƒ/1.78 aperture  second‑generation sensor‑shift optical image stabilization  100% Focus Pixels  support for super‑high‑resolution photos (24MP and 48MP) | Also enables 12MP 2x Telephoto: 48 mm  ƒ/1.78 aperture  second generation sensor‑shift optical image stabilization  100% Focus Pixels | 48MP Ultra Wide: 13 mm  ƒ/2.2 aperture and 120° field of view  Hybrid Focus Pixels  super-high-resolution photos (48MP) | 12MP 5x Telephoto: 120 mm  ƒ/2.8 aperture and 20° field of view  100% Focus Pixels  seven-element lens  3D sensor-shift optical image stabilization and autofocus  tetraprism design | 5x optical zoom in  2x optical zoom out; 10x optical zoom range | Digital zoom up to 25x | Camera Control | Customizable default lens (Fusion) | Sapphire crystal lens cover | Adaptive True Tone flash | Photonic Engine | Deep Fusion | Smart HDR 5 | Next-generation portraits with Focus and Depth Control | Portrait Lighting with six effects | Night mode | Night mode portraits enabled by LiDAR Scanner | Panorama (up to 63MP) | Latest-generation Photographic Styles | Spatial photos | 48MP macro photography | Apple ProRAW | Wide color capture for photos and Live Photos | Lens correction (Ultra Wide) | Advanced red-eye correction | Auto image stabilization | Burst mode | Photo geotagging | Image formats captured: HEIF  JPEG  and DNG,USB-C connector with support for: | Charging | DisplayPort | USB 3 (up to 10Gb/s)17,Face ID | LiDAR Scanner | Barometer | High dynamic range gyro | High-g accelerometer | Proximity sensor | Dual ambient light sensors,iOS 18 ,,
2,Apple,iPhone 16,A18 chip,128GB 256GB 512GB,Width: | 2.82 inches | (71.6 mm) | Height: | 5.81 inches | (147.6 mm) | Depth: | 0.31 inch | (7.80 mm) | Weight: 6.00 ounces (170 grams),Super Retina XDR display | 6.1‑inch (diagonal) all‑screen OLED display | 2556‑by‑1179-pixel resolution at 460 ppi | The iPhone 16 display has rounded corners that follow a beautiful curved design  and these corners are within a standard rectangle. When measured as a standard rectangular shape  the screen is 6.12 inches diagonally (actual viewable area is less).,Advanced dual-camera system | 48MP Fusion: 26 mm  ƒ/1.6 aperture  sensor‑shift optical image stabilization  100% Focus Pixels  support for super-high-resolution photos (24MP and 48MP) | Also enables 12MP 2x Telephoto: 52 mm  ƒ/1.6 aperture  sensor-shift optical image stabilization  100% Focus Pixels | 12MP Ultra Wide: 13 mm  ƒ/2.2 aperture and 120° field of view  100% Focus Pixels | 2x optical zoom in  2x optical zoom out; 4x optical zoom range | Digital zoom up to 10x | Camera Control | Sapphire crystal lens cover | True Tone flash | Photonic Engine | Deep Fusion | Smart HDR 5 | Next-generation portraits with Focus and Depth Control | Portrait Lighting with six effects | Night mode | Panorama (up to 63MP) | Latest-generation Photographic Styles | Spatial photos | Macro photography | Wide color capture for photos and Live Photos | Lens correction (Ultra Wide) | Advanced red‑eye correction | Auto image stabilization | Burst mode | Photo geotagging | Image formats captured: HEIF and JPEG,USB-C connector with support for: | Charging | DisplayPort | USB 2 (up to 480Mb/s),Face ID | Barometer | High dynamic range gyro | High-g accelerometer | Proximity sensor | Dual ambient light sensors,iOS 18 ,,
3,Apple,iPhone 15,A16 Bionic chip,128GB 256GB 512GB,Width: | 2.82 inches | (71.6 mm) | Height: | 5.81 inches | (147.6 mm) | Depth: | 0.31 inch | (7.80 mm) | Weight: 6.02 ounces (171 grams),Super Retina XDR display | 6.1‑inch (diagonal) all‑screen OLED display | 2556‑by‑1179-pixel resolution at 460 ppi | The iPhone 15 display has rounded corners that follow a beautiful curved design  and these corners are within a standard rectangle. When measured as a standard rectangular shape  the screen is 6.12 inches diagonally (actual viewable area is less).,Advanced dual-camera system | 48MP Main: 26 mm  ƒ/1.6 aperture  sensor‑shift optical image stabilization  100% Focus Pixels  support for super-high-resolution photos (24MP and 48MP) | 12MP Ultra Wide: 13 mm  ƒ/2.4 aperture and 120° field of view | 12MP 2x Telephoto (enabled by quad-pixel sensor): 52 mm  ƒ/1.6 aperture  sensor-shift optical image stabilization  100% Focus Pixels | 2x optical zoom in  2x optical zoom out; 4x optical zoom range | Digital zoom up to 10x | Sapphire crystal lens cover | True Tone flash | Photonic Engine | Deep Fusion | Smart HDR 5 | Next-generation portraits with Focus and Depth Control | Portrait Lighting with six effects | Night mode | Panorama (up to 63MP) | Photographic Styles | Wide color capture for photos and Live Photos | Lens correction (Ultra Wide) | Advanced red‑eye correction | Auto image stabilization | Burst mode | Photo geotagging | Image formats captured: HEIF and JPEG,USB-C connector with support for: | Charging | DisplayPort | USB 2 (up to 480Mb/s),Face ID | Barometer | High dynamic range gyro | High-g accelerometer | Proximity sensor | Dual ambient light sensors,iOS 18 ,,
4,Apple,iPhone 14,A15 Bionic chip,128GB 256GB 512GB,Width: | 2.82 inches | (71.5 mm) | Height: | 5.78 inches | (146.7 mm) | Depth: | 0.31 inch | (7.80 mm) | Weight: 6.07 ounces (172 grams),Super Retina XDR display | 6.1‑inch (diagonal) all‑screen OLED display | 2532‑by‑1170-pixel resolution at 460 ppi | The iPhone 14 display has rounded corners that follow a beautiful curved design  and these corners are within a standard rectangle. When measured as a standard rectangular shape  the screen is 6.06 inches diagonally (actual viewable area is less).,Dual-camera system | 12MP Main: 26 mm  ƒ/1.5 aperture  sensor‑shift optical image stabilization  100% Focus Pixels | 12MP Ultra Wide: 13 mm  ƒ/2.4 aperture and 120° field of view | 2x optical zoom out; digital zoom up to 5x | Sapphire crystal lens cover | True Tone flash | Photonic Engine | Deep Fusion | Smart HDR 4 | Portrait mode with Focus and Depth Control | Portrait Lighting with six effects | Night mode | Panorama (up to 63MP) | Photographic Styles | Wide color capture for photos and Live Photos | Lens correction (Ultra Wide) | Advanced red‑eye correction | Auto image stabilization | Burst mode | Photo geotagging | Image formats captured: HEIF and JPEG,Video playback | Up to 20 hours | Video playback (streamed) | Up to 16 hours | Audio playback | Up to 80 hours,Face ID | Barometer | High dynamic range gyro | High-g accelerometer | Proximity sensor | Dual ambient light sensors,iOS 18 ,,
5,Mi,Xiaomi 13,Snapdragon® 8 Gen 2 Mobile Platform,8GB + 256GB |  12GB+256GB,Height: 152.8mm | Width: 71.5mm | Thickness: 7.98mm | Weight: 189g,"FHD+ 6.36"" AMOLED","Leica professional optical lensLEICA VARIO-SUMMICRON 1:1.8-2.2/15-75 ASPHLeica main camera 50MP1.0μm pixel size  2.0μm 4-in-1 Super Pixel23mm equivalent focal lengthf/1.8HyperOIS7P lensLeica telephoto camera10MP**10MP refers to the megapixel count of the sensor  acutal megapixels used in photo and video may vary based on different modes.1/3.75"" sensor size1.0µm pixel size75mm equivalent focal lengthf/2.0OISLeica ultra-wide camera12MP**12MP refers to the megapixel count of the sensor  acutal megapixels used in photo and video may vary based on different modes.1/3.06"" sensor size1.12µm pixel size15mm equivalent focal lengthf/2.2Rear camera photography featuresTwo photographic styles (Leica Authentic Look  Leica Vibrant Look)Leica Authentic LookLeica Vibrant LookLeica filtersLeica classic shutter soundLeica WatermarkMaster-lens system35mm Black and white lens50mm Swirly bokeh lens75mm Portrait lens90mm Soft focus lensXiaomi Imaging EngineXiaomi ProFocus (Motion tracking focus / Eye tracking focus / Motion capture)Lightning BurstNight mode (wide/ultra wide/telephoto)HDRDigital zoom up to 30XSupermoonDocumentsCloneLong exposurePanoramaPro modeVideo recordingHDR video recording with Dolby Vision up to 4K at 60 fps8K (7680x4320) video recording at 24fps4K (3840x2160) video recording at 24 fps  30 fps  or 60 fps1080p (1920x1080) HD video recording at 30 fps  or 60 fps720p (1280x720) HD video recording at 30 fpsXiaomi ProFocus (Motion tracking focus)Ultra Night Video up to 4K at 24fpsOne-click AI cinema : Magic Zoom  Slow Shutter  Time Freeze  Night Time-lapse  Parallel World  Freeze Frame VideoVideo pro modeSlow motion video: 120fps  240fps  480fps  960fps  1920fps",Xiaomi Surge Battery Management systemXiaomi Surge charging chipsetXiaomi Surge battery management chipset67W wired turbo charging | 38mins to 100%50W wireless turbo charging | 48mins to 100%10W reverse wireless chargingInbox 67W chargerUSB type-c4500mAh (typ) battery,In-screen fingerprint sensorAI face unlock,MIUI 14  android 13,,
6,Mi,Xiaomi 13 Pro,Snapdragon® 8 Gen 2 Mobile Platform,12GB+256GB | 12GB+512GB,Height: 162.9mm | Width: 74.6mm | Thickness: 8.38mm | Weight: 229g,WQHD+ 6.73” AMOLED Display,"Leica professional optical lensLEICA VARIO-SUMMICRON 1:1.9-2.2/14-75 ASPH.Leica 1"" main camera1” sensor size50MP*50MP refers to the megapixel count of the sensor  acutal megapixels used in photo and video may vary based on different mode.1.6μm pixel size  3.2 μm 4-in-1 Super Pixelf/1.9HyperOISIMX9898P lensLeica 75mm floating telephoto camera50MP*50MP refers to the megapixel count of the sensor  acutal megapixels used in photo and video may vary based on different mode.f/2.075mm equivalent focal lengthOISFocal Shift technologyFloating telephoto lensSupport 10cm macro photography3P+3P lensLeica ultra-wide camera50MP*50MP refers to the megapixel count of the sensor  acutal megapixels used in photo and video may vary based on different mode.115° FOV14mm equivalent focal lengthf/2.2AF(Support 5cm macro photography)Rear camera photography featuresTwo photographic stylesLeica Authentic LookLeica Vibrant LookLeica filtersLeica classica shutter soundLeica WatermarkMaster-lens system35mm Black and white lens50mm Swirly boken lens75mm Portrait lens90mm Soft focus lensXiaomi Imaging EngineXiaomi ProFocus (Motion tracking focus / Eye tracking focus / Motion capture)Lightning BurstNight mode (wide/ultra wide/telephoto)Portrait Night modeDigital zoom up to 70xHDR50MP mode (wide/ultra wide/telephoto)*50MP refers to the megapixel count of the sensor  acutal megapixels used in photo and video may vary based on different mode.SupermoonPanoramaDocumentsCloneLong exposurePro modeRear camera video featuresHDR video recording with Dolby Vision up to 4K at 60 fps8K (7680x4320) video recording at 24fps4K (3840x2160) video recording at 24 fps  30 fps  or 60 fps1080p (1920x1080) HD video recording at 30 fps  or 60 fps720p (1280x720) HD video recording at 30 fpsXiaomi ProFocus (Motion tracking focus)Ultra Night Video up to 4K at 24fpsOne-click AI cinema : Magic Zoom  Slow Shutter  Time Freeze  Night Time-lapse  Parallel World  Freeze Frame VideoVlog modeVideo pro modeSlow motion video: 120fps  240fps  480fps  960fps  1920fps",Xiaomi Surge Battery Management systemXiaomi Surge charging chipsetXiaomi Surge battery management chipsetSmart 120W HyperCharge | 19mins to 100% (Boost mode) 24mins to 100% (Standard mode)50W wireless turbo charging10W reverse wireless chargingInbox 120W chargerUSB type-c4820mAh (typ) battery,In-screen fingerprint sensorAI Face Unlock,MIUI 14  android 13,,
7,Mi,Xiaomi 12,Snapdragon® 8 Gen 1,8GB + 128GB |  8GB + 256GB |  12GB+256GB,Height: 152.7mm | Width: 69.9mm | Thickness: 8.16mm | Weight: 180g,"FHD+ 6.28"" AMOLED DotDisplay",50MP wide angle camera 1/1.56” sensor size1.0μm pixel size  2μm 4-in-1 Super Pixelf/1.88OIS13MP ultra-wide angle camera123° FOVf/2.45MP telemacro cameraf/2.4AF (3cm-7cm)Rear camera photography featuresXiaomi ProFocus (Motion tracking focus / Eye tracking focus / Motion capture )Long exposure mode with six effects (Moving crowd  Oil painting  Neon trails  Light painting  Starry sky  Star trails)Photo clonesTimed burstPhoto filtersNight mode (wide/ultra wide)50MP modeDocument modeAI cameraGoogle LensMovie frame,4500mAh (typ) battery67W wired turbo charging | 50W wireless turbo charging | 10W reverse wireless chargingInbox 67W chargerUSB type-cXiaomi AdaptiveCharge,In-screen fingerprint sensorAI face unlock,MIUI 13  android 12,,
8,Mi,Xiaomi 12 Pro,Snapdragon® 8 Gen 1,8GB + 256GB |  12GB + 256GB,Height: 163.6mm | Width: 74.6mm | Thickness: 8.16mm | Weight: 205g,"WQHD+ 6.73"" AMOLED DotDisplay",Pro-grade 50MP triple camera array50MP wide angle camera1/1.28” sensor size1.22μm pixel size  2.44μm 4-in-1 Super Pixelf/1.9OISIMX70750MP ultra-wide angle camera115° FOVf/2.250MP telephoto cameraf/1.948mm equivalent focal lengthRear Camera Photography FeaturesXiaomi ProFocus (Motion tracking focus / Eye tracking focus / Motion capture)Ultra Night PhotoPortrait Night modePortrait HDRLong exposure mode with six effects (Moving crowd  Oil painting  Neon trails  Light painting  Starry sky  Star trails)Photo clonesTimed burstPhoto filtersNight mode (wide/ultra wide/telephoto)50MP mode (wide/ultra wide/telephoto)Document modeAI cameraGoogle LensMovie framePro modeImage formats captured: HEIF and JPEGHDRRAW modeFace recognitionAI distortion correction (Ultra wide)Rear Camera Video FeaturesXiaomi ProFocus (Motion tracking focus)Ultra Night VideoOne-click AI cinema : Magic Zoom  Slow Shutter  Time Freeze  Night Time-lapse  Parallel World  Freeze Frame VideoCinematic video filtersHDR10+ VideoPro Time-lapseVlog modeDual video (Selfie camera + main camera)Video edittingVideo pro modeVideo log formatMovie frameSlow motion video: 120fps  240fps  480fps  960fps  1920fpsRear Video Recording8K 7680x4320 at 24fps4K 3840x2160 at 60fps4K 3840x2160 at 30fps1080p 1920x1080 at 60fps1080p 1920x1080 at 30fps720p 1280x720 at 30fps,4600mAh (typ) battery120W Xiaomi HyperCharge | 18mins to 100% (Boost mode) 24mins to 100% (Standard mode)50W wireless turbo charging | 42mins to 100%10W reverse wireless chargingInbox 120W chargerUSB type-cXiaomi AdaptiveCharge,In-screen fingerprint sensorAI face unlock,MIUI 13  android 12,,
9,Mi,Xiaomi 11T Pro,Qualcomm®️ Snapdragon™️ 888,8GB+128GB | 8GB+256GB | 12GB+256GB,Height: 164.1mm | Width: 76.9mm | Thickness: 8.8mm | Weight: 204g,"6.67"" AMOLED DotDisplay",108MP+8MP+5MP triple camera 108MP wide angle camera 0.7μm pixel size  2.1μm 9-in-1 Super Pixel f/1.75 8MP ultra-wide angle camera 120° FOV f/2.2 5MP telemacro camera f/2.4 AF (3cm-7cm) Rear camera photography features Night mode AI Night mode AI Erase 2.0 Long exposure mode with six effects (Moving crowd  Neon trails  Oil painting  Light painting  Starry sky  Star trails) Photo clones 108MP mode Document mode 2.0 Google Lens Rear camera video features Audio zoom 8K Video One-click AI cinema HDR10+ filming Video pro mode Slow motion video support for 1080 at 120fps  240fps  960fps Rear camera video recording 8K 7680x4320 at 30fps 4K 3840x2160 at 60fps 4K 3840x2160 at 30fps 1080p 1920x1080 at 60fps 1080p 1920x1080 at 30fps 720p 1280x720 at 30fps,"5000mAh (typ) battery* | 120W Xiaomi HyperCharge* | Inbox 120W wired charger | Wired: 17mins to 100%* | ""*Typical capacity equivalent to a 5000mAh battery. The battery is split into a dual 2500mAh cell structure. | *Maximum output power will be 120W with 220~240V input; Maximum output power will be 96W with 100~120V input. Maximum output power may not be 120W based on different voltage inputs in some regions. | *Charging data tested in Xiaomi Internal Labs from 2% - 100%  actual results may vary.""",Arc side fingerprint sensor,MIUI 12.5  android 11,,
10,Mi,Mi 11i,Qualcomm Snapdragon 888,8+128GB |  8+256GB,Height: 163.7mm | Width: 76.4mmm | Thickness: 7.8mm | Weight: 196g,FHD+ 6.67“ AMOLED DotDisplay,108MP main camera f/1.75 0.7μm  9-in-1 binning into one large 2.1μm pixel 1/1.52” sensor size 7p lens 8MP ultra-wide camera f/2.2 FOV 119° 5MP telemacro camera f/2.4 AF (3cm-7cm) Rear camera photography features AI camera 6.0 Night mode 2.0 (wide/ultra wide) Rear camera video features AI Audio One-Click AI Cinema: Magic Zoom  Slow Shutter  Time Freeze  Night Time-lapse  Parallel World  Freeze Frame Video HDR10+ video Time-lapse video Rear camera video recording 8K 7680x4320 | 30fps 4K 3840x2160 | 60fps  30fps 1080p 1920x1080 | 60fps  30fps 720p 1280x720 | 30fps 20MP front camera f/2.45 0.8μm pixel size  1.6μm 4-in-1 large pixel Front camera photography features Night mode Front camera video features Video HDR,4520mAh (typ) battery | 33W fast charging/33W In-box charger/USB-C,Side fingerprint sensor | AI face unlock,MIUI 12  Android 11,,
11,Mi,Xiaomi 14T,MediaTek Dimensity 8300-Ultra,12GB |  256GB + 8GB Ultra Space | 12GB |  512GB + 16GB Ultra Space,Height: 160.5mm | Width: 75.1mm | Thickness: 7.80mm(Glass)/ 7.95mm (PU) | Weight: 195g (Glass)/ 193g (PU),Material: AMOLED,Leica professional optical lensLEICA VARIO-SUMMILUX 1:1.7-2.2/15-50 ASPH.Leica main camera50MPSony's IMX906 image sensor2.0µm 4-in-1 Super Pixelƒ/1.7OIS23mm equivalent focal lengthLeica telephoto camera50MPƒ/1.950mm equivalent focal lengthLeica ultra-wide camera12MPf/2.215mm equivalent focal length120˚ FOVRear camera photography featuresTwo Leica photographic styles (Leica Authentic Look  Leica Vibrant Look)Leica filtersLeica classic shutter soundLeica watermarkMaster-lens system(35mm Documentary lens  50mm Swirly bokeh lens  75mm Portrait lens and 90mm Soft focus lens)Xiaomi ProFocus(Motion tracking focus  eye tracking focus and motion capture)Xiaomi ProCutLightning BurstNight mode (wide/ultra wide/telephoto)Portrait mode(Leica portrait style  Master portrait style)Digital zoom up to 20xHDR50MP mode(wide/telephoto)AI cameraPanoramaSlow motionLong exposureDocumentsPro modeImage formats captured: DNG HEIF JPEGRAW modeRear camera video featuresMovie modeMasterCinemaHDR10+ video recordingShootSteadyShort videoDual videoTime-lapseUltra Night VideoDirector modeVideo pro modeVideo log formatRear camera video recording4K (3840x2160) video recording at 24 fps  30 fps  60 fps1080p (1920x1080) HD video recording at 30 fps  60 fps720p (1280x720) HD video recording at 30 fpsSlow motion video:  720p 120fps  240fps  960fps 1080p 120fps 240fps 960fps,5000mAh (typ) battery67W HyperCharge*Support PD3.0  PD2.0 and Mi-FC 2.0USB Type-C charging port*No power adapter included in box. 67W power adapter sold separately. Using Xiaomi 67W power adapter or above is recommended.,In-screen fingerprint sensorAI face unlock,Xiaomi HyperOS,,
12,Mi,Xiaomi 14T Pro,MediaTek Dimensity 9300+,12GB |  256GB + 8GB Ultra Space | 12GB |  512GB + 16GB Ultra Space | 12GB |  1TB + 32GB Ultra Space,Height: 160.4mm | Width: 75.1mm | Thickness: 8.39mm | Weight: 209g,Material: AMOLED,Leica professional optical lensLEICA VARIO-SUMMILUX 1:1.6-2.2/15-60 ASPH.Leica main camera50MPLight Fusion 900 image sensor2.4µm 4-in-1 Super Pixelƒ/1.6OIS23mm equivalent focal lengthLeica telephoto camera50MPƒ/2.060mm equivalent focal lengthLeica ultra-wide camera12MPf/2.215mm equivalent focal length120˚ FOVRear camera photography featuresTwo Leica photographic styles (Leica Authentic Look  Leica Vibrant Look)Leica filtersLeica classic shutter soundLeica watermarkMaster-lens system(35mm Documentary lens  50mm Swirly bokeh lens  75mm Portrait lens and 90mm Soft focus lens)Xiaomi ProFocus(Motion tracking focus  eye tracking focus and motion capture)Xiaomi ProCutLightning BurstNight mode (wide/ultra wide/telephoto)Portrait mode(Leica portrait style  Master portrait style)Digital zoom up to 30xHDR50MP mode(wide/telephoto)AI cameraPanoramaSlow motionLong exposureDocumentsPro modeImage formats captured: DNG HEIF JPEGRAW modeRear camera video featuresMovie modeMasterCinemaHDR10+ video recordingShootSteadyShort videoDual videoTime-lapseUltra Night VideoDirector modeVideo pro modeVideo log formatRear camera video recording8K (7680x4320) video recording at 24fps  30fps4K (3840x2160) video recording at 24 fps  30 fps  60 fps1080p (1920x1080) HD video recording at 30 fps  60 fps720p (1280x720) HD video recording at 30 fpsSlow motion video:  720p 120fps  240fps  960fps 1080p 120fps 240fps 960fps,5000mAh (typ) battery120W HyperCharge50W wireless HyperCharge*Support PD3.0  PD2.0 and Mi-FC 2.0USB Type-C charging port*No power adapter included in box. 120W power adapter sold separately. Using Xiaomi 120W power adapter is recommended.*Wireless chargers sold separately.,In-screen fingerprint sensorAI face unlock,Xiaomi HyperOS,,
